x,y,p
6.4,71.3,7.3
5.9,72.4,5.4
3.6,74.8,8
5.7,74.1,6.6
4.1,75.9,7.5
6.3,75.8,6.3
4.3,77.9,7.1
6.4,79,5.9
3.6,79.1,7.1
3.7,81,6
3.3,80.9,5.5
6.5,81.9,5.6
6.3,84.8,8
5.9,85.6,5.5
5.5,86.2,5.2
3.5,87.3,5.6
3.6,87.5,5.3
6.7,87.4,7.4
6.8,90.5,5.8
5.7,90,6.3
3.1,91.3,7.1
3.7,91.4,5.7
6.2,92.9,7.5
4.8,94.6,7.2
4.8,95.7,7.3
6,97.3,5.4
4.4,98.5,7.1
5.6,98.1,6
6.6,98.7,6.6
5.7,101.5,7
6.3,1.7,7.8
4.1,1.9,7.7
6.6,3.2,7.8
7.8,3.2,6.5
7.7,5.8,6.8
4.5,5,5.6
4.8,8.2,5.8
7.3,9.1,2.4
5.2,8.2,7.2
5,11.9,2.4
4.3,11,7.1
7.1,11.7,2
5.1,12.1,2.2
5.5,13.5,2.1
4.3,16.3,2
4.4,17.1,2.4
7.3,16.4,2.3
5.4,18.5,2.2
7.5,19.5,2.4
6.2,19.4,2.1
5.5,22.3,2.3
7.8,21.5,2.2
7.6,23.8,2.5
4.2,24.2,2.2
5.1,25.5,2.3
4.4,25.3,2.3
5.4,27.2,2.2
5.6,29.1,2.2
7.7,30.7,2.2
6.1,29.1,2.1
4.3,32.1,2.1
4.6,33.6,2.5
4.6,34,2.4
4.7,34.9,2.4
4.7,34.7,2.1
4.2,35.6,2.1
7.1,36.9,2.5
5.9,37.3,2.2
8,38.7,2.1
5.8,39.3,2.2
6.1,42.1,6.8
6.8,43.4,5.4
6.4,43.7,7.5
6.1,43.6,5.5
6.2,44.1,6.3
4.1,47.5,5.5
7,46.5,5.5
5.9,49.7,6.2
4.5,50.1,5.2
5,49.7,6.9
6.4,52.4,7.7
6.8,53.6,6.5
7.6,54.3,7.6
4.3,54.8,5.7
5.9,55,7.4
7.3,56.5,7.9
6.4,58.7,7
4.5,57.4,5
5.5,58.9,7.8
5.5,59.3,7.2
5.7,62.7,7.3
5,61.4,5.4
4.8,64.1,5.6
6.8,64.8,7.2
7.1,64.4,5.3
5.3,65.8,6.4
4.5,66.4,6.3
5,67,7.8
4.3,68.2,6
4.4,71.5,6.6
4.8,72.1,7.9
4.2,71.3,5.9
7.4,73.6,5.9
4.5,75.7,6.2
7.9,76.2,6.5
6.8,77,6.8
4.9,76.7,5.9
7.9,79.3,6.7
7.8,78.6,6.2
5.3,81.1,6.1
6.6,82.6,7.6
5.7,83.7,6.1
7,84.4,7.1
8,85.6,7.5
7.8,85.9,6.2
6.1,87.4,6
7.5,87.2,7.8
5.3,87.5,6.6
4.8,88.5,6.6
6.6,91.1,7.9
6.5,90.6,5.6
7.3,92.7,7.7
7,93,5.4
5.6,95.9,7.6
4,95.5,7
7.6,97.5,5.2
4.5,96.1,8
5.4,99,5.1
4.5,99.3,7.4
6,99.2,6.5
8.4,0.2,6.3
5.5,1.2,5.1
6.5,3.6,6.7
5.9,5.4,6.8
5.4,5.3,5.7
7.2,7.3,7.7
7.1,8.1,5
8.7,8,2.5
7.1,9.1,2.5
7.5,10.2,2.4
8.2,12.5,2.2
7.9,11.8,2.5
5.5,14.8,2.3
8.7,16,2.1
8.4,15.1,2.5
8,16,2
5.4,17.6,2.2
8.3,19.8,2.4
7,20.3,2.2
5.7,19.5,2.2
5.1,20.6,2.5
7.3,21.1,2.2
6.4,23.4,2.1
6.5,23.2,2.1
5,24.4,2.2
5.6,25.9,2.1
7,26.3,2.2
8.4,27.7,2.1
8.3,29,2.2
7,29.6,2.3
6,31,2.4
7.7,32.1,2.4
8.1,33.7,2.2
6.9,33.3,2.3
8.1,34.8,2.4
6.8,37.3,2.5
6.5,37.4,2.4
8.4,39.6,2.4
5.5,38.6,2.1
6.3,39.2,2.4
7.6,41.4,2.2
7.4,41.9,5
6.9,44.6,6.3
7.8,45.6,6
7.4,46.9,7.3
8.9,48,5
8,47.8,7.9
5,48.2,6.8
5.8,50.9,5.6
6.4,50.3,7.4
6.1,52.2,7.9
8.1,53.3,6.3
5.1,53.2,6.9
8.1,53.8,5.8
7.4,56,7.6
6,56.1,6.1
6.3,56.8,6.2
7.3,59.6,6.3
7.7,60.7,7.4
7.3,59.9,5.3
5.6,62.9,5.2
6.4,63.8,6.5
8.2,63.7,6.7
8.7,63.3,7.1
5.5,64.5,5.3
6,67.6,7.4
5.4,66.8,6.7
8.5,67.2,7.5
7,68.2,7
8.3,70.9,5.2
5.1,73,5.6
9,73.1,6.9
6.2,73.4,6.6
5.6,73.7,7.9
5.3,75,5.6
6.4,75.7,6.8
5.7,78.2,6.7
6.3,78.7,5.1
9,80.8,6.9
6.6,80,7.2
7.5,82.8,7.7
7.2,83.5,7.5
5.5,83.8,6
9,85.2,6.7
7.5,86.1,6.9
7.4,87.4,6.9
8.5,87.5,7.6
7.5,88.2,7.1
5.6,89.3,5.1
7.8,89.5,7.4
7.5,92,5.9
7.2,91.7,5.3
7.6,94.1,6.1
5.1,94,6.1
5.3,96.9,5.4
6.9,96.9,5.9
7,97.3,6.2
8.4,97.3,7.6
6.3,98.6,7.5
5.2,101.8,7.3
7,2,5.1
7.7,1.1,7.9
6.4,2.5,7.5
8.6,4.3,7.4
7.4,4.6,5.6
9.7,6,6.1
7.5,7.6,5.7
9.1,7.4,5.3
6.6,10,2.2
6.2,9.4,6.3
8.8,11.2,2.2
8,13.9,2.2
8.7,12.5,2.2
8.2,14.1,2.4
8.7,15.4,2.4
8.6,15.2,2.3
7.4,17.5,2.2
6.4,19.4,2
7,20.5,2.1
8.7,21.3,2.1
6.6,20.1,2.4
7.1,23.2,2.3
8.7,23.9,2.4
8.1,25.4,2.1
9.3,26.4,2.5
6.1,26.4,2.4
7.4,26.2,2.5
8.9,27.6,2.4
8.5,28.4,2.3
7.6,29,2
7.7,32.6,2.2
8.7,32.2,2.2
8,35,2.5
8.2,33,2.4
8.6,34,2.2
8.3,37.5,2.1
6.3,38,2
7.3,38.7,2.4
8.1,39.6,2.2
7.5,39.4,2.1
6.7,41.7,8
7.1,42,5.8
8.3,42.3,7.1
9.6,44.2,7.9
7.3,46.7,7.9
8.9,46.7,7.2
6.8,47.1,7
8.7,49.9,5.2
8.1,49.3,5.6
8.7,50.6,7.7
7.5,52.1,7.1
9.8,51.7,5.4
8,54.5,7.9
7,54.9,7
8.5,56.9,6.1
6.8,55.8,6
8.1,56.2,5.2
6.6,57.9,6
8.7,59.7,6.9
9.1,59.9,7.6
9.7,61.6,5.7
6.2,64,5.2
7.1,62.5,7.3
8.2,65.2,5.9
6.2,66.8,7
8.6,66.4,6.2
8.8,68.2,5.1
8.4,69.8,6.4
7.6,69.5,5.4
6.7,69.2,7.8
8.2,70.1,7.6
7.6,72.8,5.9
9.8,73.7,5.5
6.7,74.4,5.2
7.6,76.5,7.6
8.4,76.7,5.1
9.9,76.5,7
6.4,79.5,7.8
6.1,78.8,7.8
7.2,81.8,7.1
6.2,82.7,7
6.8,82.9,7.8
6.5,83.2,7
7.6,83.5,5.8
6.1,86.8,5.2
9.1,86.9,7.3
7.2,87,5.8
8,90,5.6
9.4,88.2,6.2
6.1,91.1,8
6.5,92.4,6.1
6.4,92.3,6
6.9,93.7,5.5
8.6,95.1,7.3
7.6,94.2,7.3
7.6,96.9,5
8.4,96.3,6.7
9.9,99.6,6.2
8.1,98.6,7.5
7.9,101.2,6.3
9.7,2.4,7.1
10.9,3.4,5.2
10.5,4.9,7.1
10.9,5.7,5.2
10.3,6.3,5.8
7.2,5.6,5.5
10.3,8.7,2.2
8.6,7.5,5.9
8.7,10.6,2.2
9.3,9,2.3
10.4,12.3,2.3
10,13.1,2.3
8.8,14.1,2.2
9.6,13.9,2.4
10.3,16.3,2.1
9.2,15.4,2.4
9.4,17.7,2.2
7.7,17.7,2.2
10.8,20.8,2.4
9.3,19.8,2
8.5,22.2,2.2
10.8,21.7,2.2
10,24.9,2
10.9,23.9,2.4
7.6,26.8,2.2
7.2,25.9,2.2
10.7,28.1,2.5
10,28.1,2.2
8.2,30.3,2.4
10.2,30.9,2.1
10.9,30.7,2.4
8.9,33.7,2.3
9.1,32.9,2.3
8.2,33.4,2.2
9.3,35.2,2.4
10,37.4,2.5
7.2,36.7,2.5
9.1,37.2,2.1
8.9,38.9,2
9.1,41.1,2.3
7,41.7,7
10.2,41.1,2.1
10.3,43.9,7.2
10.9,44.8,5.1
10.3,44.7,7.3
8.4,46.3,5.5
8.8,46.9,7.7
9,48,7.5
8.1,48.4,5.1
8.4,50.6,6.9
8.1,52.1,6.3
8,51,7
7.3,54.6,6.6
10.9,55,5.7
10.7,56,7.8
9.6,55.6,7
9.4,56,5
10.6,59.7,5.8
8.6,60.3,5.7
10.4,60.9,5.6
8.9,62,5.5
7.7,61.8,7.2
10.4,64.2,7.6
7.5,65.5,6.7
8.1,65.8,5
7.6,67.6,6.8
9.8,66.6,5
8.9,67.4,7.5
10,69.6,7.7
10.3,69.7,5.5
8.4,71.9,6.9
7.4,73.1,6
7.3,74.4,5.3
8,74.1,6
8.4,76,7.2
10.7,77.2,8
7.3,78,7.8
9,79.2,6
8.4,79.9,5.2
7.6,79.9,5.9
9.9,80.2,7.6
7.1,81.8,6.5
10.8,83.8,7.2
8.9,84.2,5.6
9.2,84.6,7.9
9.7,86.5,6.8
9.2,89,7.6
9.1,87.4,7.3
7.9,90.4,5.5
7.8,90.2,7.1
9.7,92.7,5.4
10.1,92.3,6.7
10,92.5,6.4
9.3,95.4,7.7
7.6,94.1,5.1
7.5,97.1,6.8
8.6,96.2,6.9
7.5,99.5,6.5
8.6,100.2,5.4
9.4,100.1,5.5
10.4,1.8,6.8
9.3,1.9,7.1
10.8,4.8,6.1
11.9,5.7,7.1
9.3,4.3,7.8
10.2,7,2.1
10.6,8.4,2.4
11.3,8,2.1
8.8,10.9,2.1
9.8,10.7,2.1
10.4,12.3,2.4
8.5,12,2.5
10.9,14.6,2.2
10.7,13.2,2.2
11.9,15.2,2.2
8.6,16.5,2.5
11.4,17.5,2.3
11.6,17.1,2.4
10.1,20.4,2.1
8.5,21.4,2.4
9.8,22.1,2.1
8.4,22.5,2.5
11.5,22.8,2.4
9,24.1,2.1
10.8,24.8,2.2
8.8,26.6,2.5
10,27.2,2.2
11,27.8,2
10.1,29.6,2.1
10.4,29.4,2.2
11.7,31.9,2.1
10.8,31.2,2.4
9.8,32.9,2.1
8.2,35.5,2.3
11.9,36.6,2.1
10,37.1,2.1
10.4,38.3,2
9.1,37.9,2.2
8.6,39.5,2.3
8.2,39.8,2.2
10.4,42.2,2.3
9.2,41.1,2
9.4,44,5.6
11.4,43.4,2.3
10.3,44.6,6.3
8,46.2,7.8
10.2,47.8,7.8
10.9,49.4,5.6
11.1,50.8,7.6
9.3,50.3,5.1
8.5,52.5,6.1
11.3,53.3,5.1
8.1,53.1,6.7
10.7,55,5.1
9,54.2,5.6
11.6,56.4,7.3
10.6,58.4,6.3
8.5,59.2,5.3
8.4,60.9,5.2
8.3,60.2,7.1
10.1,62.4,7
11.5,61.6,7.9
10.1,64,5.6
11.2,64.9,7.6
9.6,64.8,7
10,66.6,6.2
9.8,68.6,5.5
9.9,69.7,5.5
10.8,68.6,5.5
11.5,71.2,6.4
10.7,70.1,6.6
8.3,72.3,6.7
10.8,74.8,5
8.7,74.9,5.6
10.3,75.8,7.7
9.8,76.4,6.5
10,78.6,5.7
9.5,79,7.2
10.6,79.9,5.6
9.8,81,8
10.6,81.9,5.1
8,82.8,5
10.2,84.3,7.9
10.3,83.3,6.8
11.3,84.1,5.6
11.6,87.8,6.6
9.2,87.7,5.6
8.5,87,6
11.5,90.9,6.9
8.5,90.9,7.7
8.5,90.1,6.4
11.1,92,5.5
11.9,94.5,5.4
8.8,93.2,5.6
9.6,94.9,6.9
10.6,95.3,7.6
11.5,96.8,7.2
9.4,99.4,5.1
11.3,100.5,7.2
8.4,99.9,6
11.1,2.7,5
9.4,1.8,5.2
10.1,3.4,5.4
11.7,4.3,7.8
11.1,5.2,7.4
11.8,5.5,6.4
12.1,8.8,2.1
12.6,9.4,2.1
11,10.9,2
11.4,10.6,2
10.1,10.9,2.5
10.1,13.9,2
11,13.6,2.5
11.2,14.6,2.1
11.5,14.8,2.3
10.3,15.8,2.2
10,17.2,2.1
10.3,18.1,2.2
11,20.6,2.5
10.8,21.8,2.3
10.5,21.2,2.4
10.6,23,2.3
12.1,23.5,2.1
12.7,25.5,2.4
9.2,26.9,2
12.5,27.3,2.3
9.8,27.9,2.4
12.7,28.9,2
9.7,28.4,2.3
11.2,29,2.1
10.8,31.6,2.2
9.8,32.9,2.4
9.3,32.3,2.4
11.8,34,2.2
12.3,35.4,2.4
11.6,35.8,2.2
10.5,36.9,2
10.6,37.8,2.5
9.3,39.7,2.1
11.6,41.6,2.4
11.6,40.2,2.3
12.3,41.1,2.1
9.6,43.5,6.1
10.6,44.3,5.6
12.6,45,7.8
11.3,45.1,7.4
10.8,48.9,5.3
11.2,49.2,7
12.7,50.4,7.9
10.8,49.2,6.5
11,50.2,6.1
10.6,52.5,5.6
11.8,52.1,6.2
11.9,55.2,5.2
10.2,56.7,6.7
10,57.9,5.8
11,58,7.2
9.2,59.1,5.2
12.5,58.2,6.9
10.1,60.1,5.5
9.1,60.1,5.7
10.4,61.4,6.5
11.7,64.7,7.7
10.2,64.8,7.6
9.5,64.7,5.7
9.8,65.5,7.7
11.8,67,7.6
11.2,67,6.2
12,69.1,5.4
10,69.4,7.6
11.1,72.4,6.1
12.5,72.4,7.5
12.9,72.8,5.8
11.3,74.6,5.4
10.7,74.2,5.9
11.3,75.1,7
9.8,78.7,5.8
11.4,78.9,7.9
9.5,78.9,6.5
9.5,80.3,6.1
12.2,82.3,5
10.8,81.9,7.4
9.3,83.1,7.7
9.1,83.6,6.3
10.7,85,5.4
12.3,87.2,6.4
9.6,87.3,6.9
10,89.6,6.3
9.3,88.4,5.4
11.9,90,7.9
12.7,90.3,7.8
10.4,92.5,5.3
11.8,93,6.1
11.7,93.1,6.8
12,95.7,6.6
9.1,97.9,6.9
11.2,98.5,5.4
10.8,97.2,5.1
12,99.7,6.8
12.6,101.3,7.8
11.3,2.5,5.8
13.7,1.3,5.9
12,2.2,6.9
10.4,3.1,6.9
10.6,5.8,6.8
10.7,6.9,2.1
12.5,6.5,2.1
13.5,7.8,2.1
10.5,9.7,2.3
10.8,11.5,2.1
13.1,11.4,2.3
13,11.8,2.1
13.6,12.4,2.3
12.2,16,2.3
10.5,15.4,2.3
12.9,15.8,2.1
12.8,17.1,2.1
10.2,17.6,2.2
13.6,19.9,2.5
13.5,21.7,2.2
10.9,22.3,2.4
11.8,23.5,2.2
10.4,22.3,2.2
12.6,24.8,2.1
13.5,26.5,2.1
10.9,26.4,2.3
12.7,27.7,2.5
11.7,27.2,2.1
10.9,28.6,2.1
14,29.4,2.3
11.6,31.5,2.1
12.3,32.6,2.1
13.7,34.1,2.4
11.7,35.7,2.2
11.5,36.3,2.2
10.8,36.3,2.1
10.6,36.1,2.2
10.6,39.2,2.2
12.3,39.9,2.2
11.4,41,2.1
10.7,40.1,2.4
12.9,43.1,2.3
11.5,42.3,2.3
12,44.5,6.8
10.7,45,6.1
10.6,45.9,6.7
12.9,48.7,5.4
13.7,47.1,5.6
11.8,49.2,7.6
10.5,49.6,7.7
11,52.9,6.4
11.3,51.3,7.3
10.2,53,7
11.2,56,5.5
11.4,54.3,7.5
11.7,57.9,5.7
11.6,57.3,5.2
11,57.8,7.1
13.8,59.4,7.7
12.5,59.1,7.4
13.4,62.2,5.9
10.9,62.3,7.6
11.5,63.7,6.4
12.3,63.4,5.3
13.4,64.5,7.4
11.4,65.8,6
11.7,66.7,6.1
10.2,69,6.5
11,70.8,7
13.3,71.2,6.3
12.9,71.9,5.1
10.6,73.5,6.5
10.7,72.2,7.5
10.8,74.7,6.1
13.3,74.1,7.8
13.2,77.4,5
10.6,77.2,7.4
10.1,78.8,8
11.3,80.3,6.6
10,79.6,6.7
13,82.5,5.3
12,82.4,5.5
13.7,82.6,7.9
13.8,85.4,7.3
12.6,84.1,7
11.3,87.9,7.1
11.1,87.7,7.4
11.2,88.1,6.2
12.1,89.7,7.6
13.8,90.3,7.1
10.2,90.9,7.4
10.9,92.8,6.2
10.6,94.8,6
11.8,95,6.3
10.9,97,5.7
13.8,96.6,6.9
13.9,97.7,6.6
12.1,97.3,5.2
13.5,100.1,7.2
12.2,100.8,7.7
14.1,1.2,6.3
12.5,2,5.8
12.1,4.6,5.2
12.8,5.3,6.3
13.3,6.3,2.5
14.1,6.2,2.5
11.4,6,7.5
14.5,8.6,2.4
13,8.1,2.3
14,10.1,2.4
13.4,11.1,2.3
14.6,14,2
13.6,12.5,2.4
12.9,14.2,2.3
12.9,16,2.2
13.1,16.7,2.1
13.2,16.5,2.1
12.9,18.5,2.2
11.4,18.3,2
14.8,21.9,2.3
11.5,22,2.2
12.6,22.5,2.1
13.8,22,2.3
11.5,25.1,2.2
14.9,24.1,2.2
13,26.5,2.4
13.4,27.8,2.4
11.5,29.1,2.4
12.8,30,2.1
12,31.4,2
11.8,30.5,2.5
11.8,33.5,2.1
11.1,33.2,2.1
14,34.3,2.5
14.4,35.5,2.2
14.7,35.2,2
15,36,2.5
12.6,37.5,2.3
12.4,38.9,2.2
12.1,41,2.5
13.7,41.1,2.2
11.7,43.5,2
14.4,44.9,6.9
12,45.7,6
12.1,44.7,6.5
11.2,47,7.9
12.2,46.5,7.9
14,48.6,6.9
14.4,50.2,7.1
14.6,49.1,7.5
13.8,51.2,7.9
13.9,52,7.2
13.4,53.7,5.4
11.9,55.1,5.9
12,56.9,6.7
12.2,56.5,5.5
14.8,56.7,5.5
13.5,57.1,6.2
12.2,58.5,6.8
12.9,59.6,6.4
14.6,60,6.1
15,62,6.1
13.5,64.7,7.3
14.9,63.9,5.2
12.4,65.3,7.9
14.8,65.5,8
14.9,68.6,5.3
11,67.1,7.3
13.2,70.6,6.7
11.1,70.6,7.3
12.3,70.3,5.6
11.2,73.1,5.5
12.5,72.3,6.9
13.5,74.4,5.9
14.4,76.5,7.7
11,76.7,6.4
12.7,76.4,6
14,78.9,6.8
11.7,80.9,6.3
14,81.4,5.5
11.6,82.5,5.2
14.1,83.6,6.8
12.3,84.9,6.9
14.8,85.5,8
12.1,86.5,7.9
14.4,86.3,6.3
12.7,87.9,8
13.8,87.8,6.7
14.7,90.6,7.4
13.9,89.1,7.8
11.7,90.7,6.8
11.7,91.4,5.1
12.6,92.6,5.8
13.5,94.4,6.7
14.4,94.6,7.9
14.8,96,6.8
11.1,98.3,6.6
13,97.1,7.8
14.4,98.1,5.2
13.6,101.1,7.2
13.4,1.6,5.8
12.1,3.7,7.8
14.6,3,6.1
12.2,4.5,7.8
15.4,6.4,2.4
15.1,7.3,2.1
13,7.1,2.3
14.7,7.6,2.3
13.6,10.7,2.1
15.1,9.4,2.4
13,10.7,2.3
12.6,11.5,2.4
12.9,13.9,2.3
14,15.1,2.4
14.3,16.3,2.2
13.8,15.1,2.2
15.8,16.6,2.2
13.7,18.7,2.2
13.7,19.3,2
12.8,21.3,2.2
15.6,21.9,2
14.7,23.1,2.3
14.3,22.5,2.2
13.3,23.1,2.4
15.7,26.5,2
12.1,26.7,2.5
15.4,26,2.5
12.1,27.8,2.5
14,30.8,2.3
